code_str,labels
"for(int i=0; i<3; i++) {
    r = 1
}
g = 1
if(g < 0) {
    y = 5
}
else if(g <= 3) {
    u = 5
}
else if(g >= 0) {
    c = 1
}
j = 4
o = 4
q = 4
for(int i=0; i<3; i++) {
    l = 1
}
END","[1, 0, 1, 1, 1]"
"for(int i=0; i<1; i++) {
    n = 5
}
for(int i=0; i<1; i++) {
    g = 3
}
for(int i=0; i<1; i++) {
    f = 5
}
b = 2
if(b == 5) {
    k = 3
}
else if(b > 4) {
    s = 3
}
else {
    b = 1
}
r = 4
if(r == 1) {
    v = 3
}
else if(r <= 4) {
    l = 1
}
r = 0
if(r > 0) {
    j = 3
}
else if(r >= 4) {
    q = 1
}
else if(r <= 3) {
    p = 2
}
v = 0
if(v >= 3) {
    a = 0
}
else if(v <= 5) {
    e = 0
}
else if(v >= 1) {
    m = 2
}
else {
    m = 0
}
END","[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
"g = 2
u = 3
for(int i=0; i<1; i++) {
    j = 4
}
q = 2
END",[1]
"c = 4
if(c < 4) {
    r = 0
}
else if(c >= 2) {
    x = 1
}
j = 5
r = 1
END","[0, 1]"
"p = 2
for(int i=0; i<3; i++) {
    i = 2
}
for(int i=0; i<0; i++) {
    m = 2
}
b = 5
END","[1, 0]"
"q = 3
if(q <= 0) {
    j = 1
}
h = 4
w = 4
u = 5
for(int i=0; i<1; i++) {
    p = 0
}
q = 4
END","[0, 1]"
"r = 3
if(r >= 0) {
    w = 5
}
else if(r > 1) {
    w = 1
}
else if(r < 0) {
    d = 1
}
c = 3
l = 3
for(int i=0; i<3; i++) {
    f = 2
}
END","[1, 1, 0, 1]"
"for(int i=0; i<0; i++) {
    b = 1
}
r = 4
if(r <= 1) {
    d = 4
}
else if(r < 3) {
    e = 4
}
else if(r < 3) {
    o = 4
}
b = 4
for(int i=0; i<3; i++) {
    g = 4
}
k = 4
if(k < 5) {
    x = 2
}
else if(k < 2) {
    o = 0
}
else if(k > 3) {
    k = 4
}
else {
    p = 5
}
for(int i=0; i<0; i++) {
    j = 5
}
v = 4
if(v == 0) {
    x = 3
}
else if(v <= 4) {
    y = 4
}
END","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
"a = 1
l = 1
v = 2
t = 4
if(t > 2) {
    z = 1
}
else if(t > 4) {
    q = 5
}
else if(t < 4) {
    z = 0
}
else {
    z = 2
}
z = 2
t = 3
q = 0
if(q > 4) {
    s = 2
}
END","[1, 0, 0, 0]"
"x = 3
v = 2
g = 3
for(int i=0; i<0; i++) {
    b = 1
}
n = 2
if(n > 1) {
    p = 3
}
else if(n >= 5) {
    v = 5
}
else if(n < 5) {
    u = 0
}
else {
    u = 1
}
t = 1
t = 4
if(t < 3) {
    y = 1
}
else if(t > 5) {
    f = 4
}
else if(t < 4) {
    w = 3
}
END","[0, 1, 0, 1, 0, 0, 0]"
"y = 3
i = 0
if(i <= 5) {
    h = 2
}
z = 0
if(z > 3) {
    z = 2
}
else if(z < 1) {
    a = 4
}
else if(z <= 0) {
    x = 5
}
o = 3
if(o <= 5) {
    v = 0
}
else if(o < 0) {
    t = 0
}
i = 1
if(i <= 2) {
    a = 0
}
else if(i > 0) {
    g = 1
}
else {
    i = 1
}
END","[1, 0, 1, 1, 1, 0, 1, 1]"
"k = 4
if(k > 2) {
    s = 5
}
else if(k > 2) {
    s = 2
}
else if(k < 4) {
    i = 1
}
g = 1
if(g <= 5) {
    k = 0
}
else if(g > 0) {
    q = 1
}
u = 4
if(u <= 0) {
    w = 5
}
else {
    u = 4
}
END","[1, 1, 0, 1, 1, 0]"
"c = 4
f = 5
v = 3
r = 1
END",[]
"for(int i=0; i<2; i++) {
    s = 1
}
z = 0
if(z > 2) {
    r = 2
}
else if(z <= 1) {
    x = 5
}
else if(z == 3) {
    w = 0
}
else {
    x = 3
}
q = 4
if(q > 1) {
    h = 5
}
else if(q >= 4) {
    k = 2
}
l = 1
if(l == 1) {
    c = 3
}
END","[1, 0, 1, 0, 1, 1, 1]"
"r = 3
if(r >= 2) {
    m = 3
}
else if(r == 1) {
    f = 0
}
else {
    y = 2
}
for(int i=0; i<1; i++) {
    j = 3
}
d = 3
for(int i=0; i<0; i++) {
    k = 5
}
for(int i=0; i<2; i++) {
    x = 5
}
for(int i=0; i<2; i++) {
    l = 2
}
t = 3
END","[1, 0, 1, 0, 1, 1]"
"y = 0
c = 0
f = 4
z = 1
a = 5
if(a == 0) {
    y = 2
}
else if(a <= 3) {
    w = 0
}
else if(a >= 3) {
    v = 2
}
i = 4
END","[0, 0, 1]"
"for(int i=0; i<3; i++) {
    h = 3
}
for(int i=0; i<0; i++) {
    m = 4
}
r = 1
if(r <= 3) {
    v = 3
}
else if(r == 3) {
    s = 1
}
else if(r < 2) {
    g = 5
}
else {
    h = 5
}
for(int i=0; i<1; i++) {
    h = 1
}
END","[1, 0, 1, 0, 1, 1]"
"j = 2
if(j == 0) {
    o = 5
}
else if(j == 5) {
    p = 2
}
for(int i=0; i<1; i++) {
    d = 2
}
a = 3
y = 1
a = 2
if(a >= 0) {
    y = 3
}
else if(a <= 0) {
    t = 1
}
else {
    v = 1
}
for(int i=0; i<1; i++) {
    i = 1
}
END","[0, 0, 1, 1, 0, 1]"
"y = 4
if(y >= 2) {
    l = 0
}
else if(y > 5) {
    s = 5
}
else {
    r = 4
}
s = 5
if(s > 5) {
    d = 2
}
else if(s > 2) {
    v = 1
}
else if(s < 3) {
    z = 1
}
else {
    f = 2
}
for(int i=0; i<1; i++) {
    s = 5
}
d = 2
for(int i=0; i<2; i++) {
    b = 1
}
for(int i=0; i<0; i++) {
    f = 4
}
END","[1, 0, 0, 1, 0, 1, 1, 0]"
"t = 4
i = 3
c = 5
e = 1
p = 5
t = 4
for(int i=0; i<3; i++) {
    d = 3
}
END",[1]
"r = 3
if(r > 5) {
    k = 3
}
q = 5
if(q < 2) {
    n = 3
}
t = 4
m = 2
END","[0, 0]"
"c = 2
h = 2
if(h > 2) {
    v = 0
}
else if(h == 5) {
    m = 1
}
else if(h > 3) {
    b = 5
}
f = 4
if(f >= 5) {
    r = 0
}
else if(f >= 4) {
    q = 4
}
else if(f >= 5) {
    i = 0
}
else {
    z = 5
}
for(int i=0; i<3; i++) {
    g = 2
}
u = 5
if(u > 2) {
    l = 1
}
else if(u == 5) {
    e = 0
}
else if(u < 1) {
    f = 4
}
else {
    z = 4
}
o = 5
e = 5
if(e >= 5) {
    t = 3
}
else if(e <= 4) {
    k = 3
}
else if(e < 2) {
    j = 5
}
END","[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]"
"f = 2
if(f < 3) {
    c = 3
}
else {
    y = 5
}
x = 2
if(x <= 1) {
    a = 5
}
else {
    y = 3
}
q = 4
v = 2
if(v == 4) {
    q = 2
}
else if(v == 4) {
    y = 5
}
else if(v < 0) {
    k = 1
}
for(int i=0; i<2; i++) {
    b = 4
}
v = 4
END","[1, 0, 0, 0, 0, 1]"
"t = 4
if(t >= 0) {
    t = 5
}
else if(t > 2) {
    g = 3
}
else if(t == 0) {
    w = 5
}
else {
    h = 4
}
e = 1
z = 3
if(z >= 2) {
    r = 5
}
else if(z < 1) {
    p = 0
}
else if(z < 2) {
    n = 4
}
else {
    u = 3
}
p = 3
if(p == 4) {
    q = 3
}
for(int i=0; i<3; i++) {
    n = 1
}
END","[1, 1, 0, 1, 0, 0, 0, 1]"
"b = 1
s = 2
if(s > 4) {
    o = 4
}
else if(s >= 5) {
    f = 2
}
for(int i=0; i<3; i++) {
    v = 3
}
END","[0, 0, 1]"
"j = 4
if(j == 5) {
    a = 4
}
else if(j == 4) {
    m = 2
}
else if(j < 1) {
    f = 4
}
else {
    m = 3
}
k = 0
b = 3
if(b == 2) {
    i = 3
}
else {
    h = 3
}
r = 0
if(r > 1) {
    h = 4
}
else if(r > 2) {
    z = 0
}
else if(r == 5) {
    k = 4
}
else {
    g = 5
}
f = 2
if(f > 2) {
    n = 3
}
else if(f == 3) {
    v = 1
}
else if(f > 5) {
    s = 2
}
n = 3
END","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"k = 1
for(int i=0; i<2; i++) {
    q = 1
}
for(int i=0; i<0; i++) {
    g = 2
}
c = 4
END","[1, 0]"
"s = 2
if(s < 0) {
    e = 0
}
else if(s > 3) {
    r = 3
}
else if(s <= 2) {
    g = 1
}
else {
    p = 2
}
b = 1
if(b <= 1) {
    r = 0
}
else {
    n = 0
}
u = 1
for(int i=0; i<3; i++) {
    r = 4
}
s = 2
if(s <= 4) {
    l = 0
}
else if(s >= 0) {
    u = 1
}
else if(s <= 0) {
    w = 4
}
else {
    e = 0
}
END","[0, 0, 1, 1, 1, 1, 1, 0]"
"w = 5
y = 4
if(y <= 0) {
    q = 2
}
c = 3
for(int i=0; i<1; i++) {
    w = 1
}
x = 0
END","[0, 1]"
"n = 3
for(int i=0; i<1; i++) {
    l = 1
}
for(int i=0; i<3; i++) {
    x = 4
}
for(int i=0; i<2; i++) {
    n = 3
}
END","[1, 1, 1]"
"f = 2
if(f >= 1) {
    v = 5
}
else if(f <= 1) {
    p = 2
}
else if(f == 4) {
    m = 3
}
w = 5
v = 3
b = 4
END","[1, 0, 0]"
"for(int i=0; i<1; i++) {
    o = 0
}
m = 5
a = 2
if(a > 5) {
    i = 0
}
for(int i=0; i<3; i++) {
    e = 5
}
d = 2
for(int i=0; i<0; i++) {
    t = 1
}
w = 3
END","[1, 0, 1, 0]"
"i = 3
e = 4
w = 1
f = 2
a = 3
y = 5
END",[]
"h = 0
x = 2
for(int i=0; i<0; i++) {
    g = 1
}
e = 3
END",[0]
"c = 1
y = 4
for(int i=0; i<1; i++) {
    x = 5
}
s = 4
END",[1]
"z = 3
w = 5
w = 1
if(w <= 2) {
    f = 1
}
else if(w <= 4) {
    f = 4
}
p = 2
for(int i=0; i<3; i++) {
    l = 4
}
a = 4
if(a > 4) {
    y = 4
}
else if(a > 2) {
    w = 5
}
q = 0
if(q >= 3) {
    l = 5
}
else if(q >= 1) {
    d = 2
}
else if(q <= 3) {
    p = 2
}
END","[1, 1, 1, 0, 1, 0, 0, 1]"
"for(int i=0; i<0; i++) {
    p = 2
}
c = 2
if(c <= 2) {
    q = 0
}
else if(c < 0) {
    x = 2
}
else if(c == 4) {
    f = 3
}
else {
    h = 2
}
z = 4
for(int i=0; i<3; i++) {
    s = 1
}
for(int i=0; i<2; i++) {
    a = 3
}
END","[0, 1, 0, 0, 1, 1]"
"p = 5
w = 3
if(w < 2) {
    w = 5
}
else if(w <= 0) {
    g = 1
}
else if(w > 3) {
    y = 5
}
z = 3
if(z == 3) {
    s = 0
}
else if(z > 4) {
    r = 4
}
w = 0
j = 4
END","[0, 0, 0, 1, 0]"
"z = 1
if(z <= 2) {
    w = 4
}
else if(z < 1) {
    g = 1
}
else {
    t = 0
}
s = 0
if(s > 1) {
    q = 0
}
else if(s == 1) {
    l = 1
}
else if(s < 2) {
    z = 5
}
else {
    w = 5
}
for(int i=0; i<2; i++) {
    s = 2
}
for(int i=0; i<0; i++) {
    p = 0
}
for(int i=0; i<0; i++) {
    m = 4
}
END","[1, 0, 0, 0, 1, 1, 0, 0]"
"y = 0
if(y <= 3) {
    w = 4
}
else if(y >= 0) {
    f = 4
}
else {
    k = 1
}
q = 2
m = 2
t = 1
z = 5
q = 1
for(int i=0; i<3; i++) {
    r = 2
}
END","[1, 1, 1]"
"j = 0
y = 1
if(y == 0) {
    k = 2
}
else {
    f = 3
}
v = 4
for(int i=0; i<0; i++) {
    q = 2
}
r = 5
i = 1
if(i == 4) {
    m = 2
}
else if(i < 2) {
    f = 2
}
else {
    o = 2
}
END","[0, 0, 0, 1]"
"a = 1
for(int i=0; i<0; i++) {
    f = 5
}
r = 2
x = 4
for(int i=0; i<2; i++) {
    p = 2
}
END","[0, 1]"
"for(int i=0; i<0; i++) {
    i = 2
}
for(int i=0; i<2; i++) {
    g = 1
}
for(int i=0; i<1; i++) {
    a = 2
}
c = 1
if(c >= 3) {
    q = 3
}
else if(c == 5) {
    y = 5
}
else if(c >= 1) {
    l = 4
}
else {
    u = 4
}
for(int i=0; i<3; i++) {
    p = 3
}
END","[0, 1, 1, 0, 0, 1, 1]"
"d = 2
q = 0
x = 1
if(x == 3) {
    h = 1
}
else if(x == 5) {
    g = 3
}
else if(x == 3) {
    p = 5
}
else {
    y = 3
}
i = 1
if(i >= 4) {
    o = 5
}
else if(i > 3) {
    c = 1
}
else {
    g = 0
}
g = 3
END","[0, 0, 0, 0, 0]"
"g = 2
if(g == 2) {
    r = 5
}
else if(g > 4) {
    m = 0
}
else {
    x = 0
}
i = 0
if(i > 3) {
    o = 1
}
f = 1
h = 3
p = 3
if(p >= 0) {
    l = 2
}
else {
    l = 0
}
i = 2
if(i >= 1) {
    n = 1
}
else if(i == 5) {
    l = 2
}
else if(i == 1) {
    g = 5
}
f = 3
END","[1, 0, 0, 1, 1, 0, 0]"
"for(int i=0; i<3; i++) {
    v = 0
}
b = 2
if(b == 1) {
    l = 2
}
else if(b > 0) {
    d = 1
}
else {
    r = 3
}
for(int i=0; i<3; i++) {
    l = 5
}
for(int i=0; i<2; i++) {
    v = 5
}
END","[1, 0, 1, 1, 1]"
"for(int i=0; i<3; i++) {
    h = 5
}
for(int i=0; i<1; i++) {
    c = 5
}
l = 3
u = 2
e = 3
END","[1, 1]"
"o = 2
h = 5
if(h > 1) {
    a = 2
}
else if(h == 2) {
    y = 2
}
else if(h >= 4) {
    t = 5
}
r = 3
if(r == 1) {
    g = 1
}
else if(r == 3) {
    e = 0
}
for(int i=0; i<2; i++) {
    a = 1
}
m = 5
if(m >= 0) {
    a = 0
}
b = 0
END","[1, 0, 1, 0, 1, 1, 1]"
"l = 0
q = 1
f = 3
d = 1
for(int i=0; i<3; i++) {
    d = 5
}
for(int i=0; i<1; i++) {
    x = 1
}
for(int i=0; i<1; i++) {
    o = 0
}
END","[1, 1, 1]"
"for(int i=0; i<1; i++) {
    a = 4
}
for(int i=0; i<1; i++) {
    h = 3
}
r = 1
if(r >= 3) {
    a = 0
}
else if(r >= 0) {
    h = 1
}
else if(r >= 2) {
    t = 2
}
else {
    k = 0
}
for(int i=0; i<1; i++) {
    w = 1
}
r = 2
if(r < 5) {
    t = 0
}
else if(r <= 4) {
    y = 2
}
else if(r == 1) {
    e = 1
}
else {
    g = 5
}
for(int i=0; i<2; i++) {
    a = 5
}
END","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1]"
"c = 4
w = 4
if(w > 0) {
    e = 2
}
else if(w <= 5) {
    z = 0
}
else if(w >= 2) {
    b = 0
}
else {
    t = 3
}
e = 0
if(e > 4) {
    f = 5
}
else if(e >= 3) {
    x = 3
}
else if(e > 4) {
    o = 0
}
for(int i=0; i<3; i++) {
    i = 4
}
END","[1, 1, 1, 0, 0, 0, 1]"
"for(int i=0; i<2; i++) {
    h = 0
}
for(int i=0; i<2; i++) {
    r = 2
}
q = 2
if(q == 1) {
    y = 3
}
else if(q < 4) {
    n = 4
}
else {
    u = 0
}
i = 2
END","[1, 1, 0, 1]"
"d = 1
if(d < 0) {
    h = 0
}
q = 2
if(q <= 1) {
    m = 2
}
else if(q <= 2) {
    j = 5
}
j = 2
if(j > 5) {
    g = 5
}
else if(j == 0) {
    r = 3
}
END","[0, 0, 1, 0, 0]"
"i = 3
if(i >= 1) {
    j = 1
}
o = 5
v = 0
if(v > 5) {
    q = 2
}
else if(v < 2) {
    y = 1
}
for(int i=0; i<3; i++) {
    n = 1
}
for(int i=0; i<3; i++) {
    z = 5
}
o = 1
END","[1, 0, 1, 1, 1]"
"p = 2
if(p <= 1) {
    u = 1
}
else if(p <= 4) {
    p = 4
}
else {
    v = 4
}
b = 0
if(b <= 3) {
    m = 1
}
else if(b > 2) {
    i = 2
}
else {
    o = 0
}
g = 4
z = 2
for(int i=0; i<3; i++) {
    i = 0
}
y = 5
o = 0
if(o > 2) {
    n = 1
}
END","[0, 1, 1, 0, 1, 0]"
"for(int i=0; i<3; i++) {
    g = 2
}
for(int i=0; i<3; i++) {
    w = 3
}
w = 3
END","[1, 1]"
"for(int i=0; i<3; i++) {
    i = 2
}
o = 5
m = 3
if(m > 1) {
    e = 5
}
else if(m <= 3) {
    u = 3
}
k = 0
h = 0
END","[1, 1, 1]"
"k = 4
q = 3
r = 5
if(r <= 2) {
    s = 1
}
else {
    u = 2
}
for(int i=0; i<1; i++) {
    u = 3
}
n = 0
d = 2
END","[0, 1]"
"l = 4
u = 4
s = 5
for(int i=0; i<2; i++) {
    x = 0
}
END",[1]
"x = 5
k = 3
if(k > 1) {
    a = 0
}
else if(k == 2) {
    x = 2
}
z = 5
if(z < 4) {
    q = 4
}
for(int i=0; i<1; i++) {
    b = 0
}
a = 5
if(a >= 4) {
    f = 5
}
else {
    p = 4
}
END","[1, 0, 0, 1, 1]"
"a = 0
if(a > 0) {
    y = 5
}
else if(a < 0) {
    q = 2
}
else {
    v = 0
}
for(int i=0; i<0; i++) {
    c = 2
}
for(int i=0; i<1; i++) {
    v = 2
}
y = 3
END","[0, 0, 0, 1]"
"s = 5
h = 3
y = 3
w = 5
if(w <= 5) {
    g = 5
}
else if(w <= 3) {
    w = 1
}
for(int i=0; i<2; i++) {
    z = 3
}
j = 5
if(j < 4) {
    b = 1
}
else if(j > 0) {
    n = 1
}
for(int i=0; i<0; i++) {
    x = 0
}
END","[1, 0, 1, 0, 1, 0]"
"r = 5
if(r <= 2) {
    x = 2
}
else if(r < 4) {
    f = 1
}
for(int i=0; i<0; i++) {
    b = 1
}
n = 5
y = 4
if(y > 2) {
    s = 1
}
else if(y > 4) {
    q = 4
}
else {
    d = 0
}
END","[0, 0, 0, 1, 0]"
"x = 5
v = 5
i = 4
if(i <= 5) {
    x = 3
}
else if(i >= 1) {
    z = 5
}
n = 4
END","[1, 1]"
"s = 5
w = 0
if(w >= 4) {
    j = 3
}
s = 0
d = 2
d = 2
END",[0]
"r = 0
for(int i=0; i<0; i++) {
    r = 4
}
f = 5
if(f > 0) {
    n = 0
}
else if(f > 1) {
    x = 5
}
END","[0, 1, 1]"
"s = 1
if(s == 4) {
    w = 2
}
else if(s < 3) {
    b = 2
}
else {
    s = 0
}
z = 5
for(int i=0; i<1; i++) {
    n = 4
}
END","[0, 1, 1]"
"t = 1
if(t <= 3) {
    k = 1
}
e = 0
b = 4
if(b >= 5) {
    s = 3
}
else if(b >= 5) {
    x = 2
}
l = 1
if(l > 2) {
    d = 1
}
else if(l <= 5) {
    f = 3
}
u = 4
END","[1, 0, 0, 0, 1]"
"k = 1
if(k == 3) {
    n = 3
}
else if(k <= 5) {
    n = 5
}
for(int i=0; i<1; i++) {
    l = 0
}
u = 4
if(u == 5) {
    d = 3
}
else {
    y = 3
}
o = 0
if(o >= 2) {
    u = 0
}
else if(o > 3) {
    j = 5
}
else if(o > 3) {
    a = 3
}
for(int i=0; i<3; i++) {
    y = 2
}
for(int i=0; i<2; i++) {
    b = 4
}
f = 4
END","[0, 1, 1, 0, 0, 0, 0, 1, 1]"
"q = 1
if(q > 0) {
    e = 3
}
else {
    g = 2
}
h = 3
h = 4
if(h == 0) {
    p = 5
}
else if(h == 4) {
    z = 4
}
else if(h == 1) {
    q = 2
}
b = 2
if(b < 4) {
    s = 4
}
else if(b >= 4) {
    i = 5
}
b = 0
if(b == 3) {
    x = 0
}
else if(b < 3) {
    u = 0
}
else {
    g = 0
}
END","[1, 0, 1, 0, 1, 0, 0, 1]"
"for(int i=0; i<3; i++) {
    t = 5
}
x = 3
for(int i=0; i<1; i++) {
    b = 3
}
for(int i=0; i<2; i++) {
    d = 5
}
a = 5
b = 5
if(b >= 1) {
    j = 3
}
else if(b >= 2) {
    x = 3
}
else if(b < 4) {
    i = 3
}
m = 2
if(m >= 3) {
    c = 0
}
END","[1, 1, 1, 1, 1, 0, 0]"
"z = 4
for(int i=0; i<3; i++) {
    w = 5
}
x = 4
if(x == 1) {
    x = 1
}
else if(x == 3) {
    k = 2
}
else if(x <= 3) {
    d = 5
}
b = 2
g = 4
END","[1, 0, 0, 0]"
"s = 5
if(s > 3) {
    y = 3
}
else if(s >= 3) {
    n = 2
}
else if(s >= 3) {
    s = 5
}
b = 0
b = 4
u = 2
if(u <= 0) {
    l = 2
}
i = 1
END","[1, 1, 1, 0]"
"h = 4
f = 0
if(f == 0) {
    v = 2
}
else if(f < 4) {
    b = 2
}
else if(f == 1) {
    z = 5
}
for(int i=0; i<0; i++) {
    z = 5
}
m = 1
j = 1
if(j >= 2) {
    q = 2
}
x = 1
if(x == 1) {
    w = 5
}
else {
    e = 3
}
e = 0
END","[1, 1, 0, 0, 0, 1]"
"o = 3
i = 5
if(i < 0) {
    z = 4
}
else if(i > 3) {
    h = 5
}
else {
    f = 0
}
for(int i=0; i<2; i++) {
    h = 2
}
d = 4
for(int i=0; i<3; i++) {
    h = 5
}
for(int i=0; i<3; i++) {
    f = 5
}
x = 0
END","[0, 1, 1, 1, 1]"
"for(int i=0; i<3; i++) {
    x = 2
}
q = 0
for(int i=0; i<3; i++) {
    h = 4
}
END","[1, 1]"
"p = 3
if(p < 4) {
    r = 5
}
else if(p == 4) {
    m = 5
}
t = 0
s = 5
r = 5
for(int i=0; i<2; i++) {
    c = 5
}
d = 3
s = 0
if(s > 3) {
    n = 1
}
END","[1, 0, 1, 0]"
"for(int i=0; i<3; i++) {
    l = 2
}
for(int i=0; i<1; i++) {
    m = 3
}
g = 0
END","[1, 1]"
"o = 2
m = 5
if(m > 5) {
    r = 5
}
else if(m < 5) {
    a = 3
}
w = 0
u = 0
if(u == 3) {
    z = 1
}
else if(u == 3) {
    h = 5
}
else if(u >= 4) {
    w = 2
}
r = 0
h = 1
if(h >= 3) {
    c = 3
}
else if(h <= 3) {
    h = 5
}
END","[0, 0, 0, 0, 0, 0, 1]"
"for(int i=0; i<3; i++) {
    y = 3
}
r = 5
if(r >= 4) {
    o = 1
}
for(int i=0; i<3; i++) {
    v = 0
}
z = 2
if(z <= 3) {
    i = 0
}
else {
    z = 0
}
for(int i=0; i<3; i++) {
    a = 2
}
END","[1, 1, 1, 1, 1]"
"j = 0
a = 3
if(a < 0) {
    y = 5
}
else if(a >= 4) {
    j = 0
}
else if(a == 0) {
    q = 2
}
for(int i=0; i<1; i++) {
    e = 0
}
END","[0, 0, 0, 1]"
"u = 4
f = 3
w = 5
j = 4
f = 5
u = 2
END",[]
"b = 5
i = 5
k = 1
if(k > 2) {
    d = 4
}
else {
    u = 3
}
k = 4
h = 4
END",[0]
"for(int i=0; i<0; i++) {
    n = 4
}
e = 0
if(e == 4) {
    c = 5
}
else if(e > 5) {
    k = 4
}
else if(e < 2) {
    p = 2
}
for(int i=0; i<2; i++) {
    w = 2
}
for(int i=0; i<1; i++) {
    r = 1
}
for(int i=0; i<0; i++) {
    e = 1
}
for(int i=0; i<2; i++) {
    g = 1
}
for(int i=0; i<0; i++) {
    t = 4
}
END","[0, 0, 0, 1, 1, 1, 0, 1, 0]"
"i = 5
k = 2
z = 2
h = 1
u = 3
t = 5
k = 0
END",[]
"a = 3
a = 0
if(a < 0) {
    a = 2
}
else if(a < 3) {
    n = 5
}
else if(a > 3) {
    y = 4
}
f = 3
if(f <= 3) {
    r = 3
}
else {
    q = 5
}
u = 4
p = 3
k = 0
END","[0, 1, 0, 1]"
"for(int i=0; i<1; i++) {
    t = 0
}
c = 5
j = 5
l = 2
if(l == 3) {
    v = 5
}
else if(l > 2) {
    r = 0
}
t = 3
if(t < 4) {
    w = 1
}
b = 4
END","[1, 0, 0, 1]"
"for(int i=0; i<3; i++) {
    u = 5
}
b = 5
if(b >= 2) {
    s = 5
}
h = 3
if(h <= 3) {
    w = 2
}
else if(h >= 0) {
    g = 3
}
else if(h == 1) {
    s = 3
}
else {
    e = 3
}
for(int i=0; i<3; i++) {
    v = 1
}
w = 2
for(int i=0; i<3; i++) {
    f = 1
}
w = 5
if(w > 0) {
    m = 4
}
END","[1, 1, 1, 1, 0, 1, 1, 1]"
